NORTHVILLE,102 STATE HIGHWAY 30 PMB 6893,283854,1761
ALTO,10102 68TH ST SE,205209,1439
UNION,1034 SALEM RD,121226,2786
RIVERSIDE,10210 GOULD ST APT AN-101,200974,2005
OAK LAWN,10499 S KNOX AVE,276741,1275
HOBOKEN,1024 WILLOW AVE APT 3 # 1229,210678,2368
BRONX,1045 ANDERSON AVE APT 5A,352673,2650
LAMOURE,10660 HIGHWAY 13,465479,1840
PORTAL,10522 81ST AVE NW,145908,2137
WINSLOW,106 NAVAJO DR,390378,2136
WELLINGTON,1037 S STATE ROAD 7 STE AF-111,204298,1863
SPRINGFIELD,11 ARMORY ST APT 2R,309819,1512
WOODSTOCK,10779 HERNWOOD RD,482572,2542
EDISON,11 KOSTER BLVD APT 3A,149781,1334
DUNDEE,10939 LOWER TRAIL RD NW,275286,1374
EVERETT,114 E MAIN ST APT 3,485023,2996
SAN FRANCISCO,111 SUTTER ST STE 550 PMB 1045,247224,1651
WARETOWN,1 CROSSWIND RD,107084,2042
ALTON,0J EAST HWY,107466,1740
NEWARK,1 ABBEY RD,429561,2121
HONOLULU,1 ALOHA TOWER DR UNIT 220,223136,1401
CAMPTON,1 BACK STREET RD,117729,3079
GRANT,1 CLARK RD,430196,3116
LINCOLN,1 BLACKSMITH RD,203802,3081
GUANICA,1 CALLE 13 DE MARZO,270622,3171
VEGA ALTA,1 CALLE AMANECER,263355,2575
GURABO,1 CALLE F S,226912,3066
CIALES,1 CALLE MUNOZ RIVERA,437332,1747
CABO ROJO,1 CALLEJON DAVID DIAZ,341507,3136
MOUNT VERNON,1 CHESTERWOOD AVE,236282,1284
UNIVERSITY OF RICHMOND,1 GATEWAY RD,122037,1806
HANCOCK,1 GURNEY-BROWN RD,475934,2046
BREWTON,1 JAYS LN,311536,3116
POINT PLEASANT BEACH,1 HENDRICKSONS ROW,437713,2295
SIMSBURY,1 HOSKINS RD APT 4A1,191076,2537
CALIFON,1 BRIDGE HOLLOW ESTATES RD,103210,2271
FORT WORTH,1 BULLDOG RD,407513,1304
WASHINGTON,1 DUPONT CIR NW STE 620,290022,2389
PHILADELPHIA,1 LOGAN SQ FL 17,104147,2669
PEAKS ISLAND,1 MARRINER CT,313813,2074
BELLMAWR,1 MELFIT RD,388005,3086
CONCORD,1 MUSKETAQUID RD,149689,1274
COLUMBIA,1 LAKEVIEW CT E,450343,3136
SAVANNAH,1 FAIRFIELD CT,224401,2159
HARRISBURG,1 PHEAA,474134,2504
WARETOWN,1 PRIVATEER CV,308642,3181
OKLAHOMA CITY,1 N HUDSON AVE STE 450,481988,2123
MASHPEE,1 NORTHWEST LNDG,265433,2168
ORMOND BEACH,1 TIMBERLAKE LN,267593,1715
LEXINGTON,1 WINCHESTER DR,112526,2493
NASHVILLE,1 VANTAGE WAY STE D115,470419,1278
ISELIN,1 WASHINGTON AVE,172882,2590
WEBSTER,1 RIVERSIDE DR,136676,2515
SONORA,1 S HUTLED LN,215640,1404
RALLS,100 AVENUE O,256728,2848
BOULDER CREEK,100 BROOKSIDE DR,315593,1423
HANSON,1 WOODLAND DR,406622,2527
SAINT CHARLES,10 BEL RAE CT APT 108C,159651,2485
MONTGOMERY,10 E DELANO AVE,352303,2120
SCARBOROUGH,1 SPRINGBROOK LN,148813,2332
EATONTOWN,10 INDUSTRIAL WAY E STE 2580 # 1,144735,2487
HUNTSVILLE,10 SAPSIDE INN LIGHTHOUSE LANE PMB 10002,322608,1333
WAKEFIELD,100 MAUTUCKET RD,142030,3141
MC VEIGH,100 HOMEMADE CV,320246,2248
BYNUM,100 KINGS RD,191187,2364
DIXONS MILLS,100 FIRE TOWER RD,168292,1508
NYACK,10 SOUTH BLVD APT J,348509,1906
NEVIS,100 3RD AVE,439538,2626
GORDON,100 ANN ST,104078,1476
MORRISVILLE,100 LAKE HICKORY BLVD,426009,2004
WALHALLA,100 CANE CREEK LANDING RD,484633,1908
CARPENTER,1000 PRAIRIE GRASS ST,305541,2657
TITUS,100 N ANDREWS ST,106884,2526
MOUNT HOLLY,100 OHMOYO ST,248219,2496
HAMDEN,100 PROMENADE DR,149244,2185
APACHE JUNCTION,100 S HASSETT CRK,185624,1670
EASTON,100 SUTTON PL,154487,2741
CLARK,100 WALNUT AVE STE 200,220702,1682
ELLSWORTH,1000 AVENUE O,396274,2905
COOPER,1003 FM 1528,406140,3138
KIRKLAND,10054 132ND AVE NE,273721,3073
ENTERPRISE,100 CLUBVIEW DR,149066,1311
HEADLAND,101 BEAVER RUN DR,215607,3143
MAPLETON,10078 W LAKE LANCELOT DR,407414,1798
HUNTSVILLE,1010 LONGWOOD DR SE,143782,2367
MAYAGUEZ,101 CALLE MENDEZ VIGO W,380493,1342
CHAMPAIGN,101 DEVONSHIRE DR STE G,475025,1630
DUTTON,101 S ANDREWS ST,419670,3110
HOBOKEN,1009 GARDEN ST APT 1 # 1978,451226,1539
DUNNELLON,10003 SW 125TH COURT RD,341096,1202
HALF MOON BAY,1001 MAIN ST APT 105A,364920,2834
BEACH HAVEN,101 ENGLESIDE AVE # 7415 # 1748,194448,2797
SHELBY,101 HAWKS CV,334952,2276
PIEDMONT,101 OAK ST,115924,1856
FULTON,1014 6TH AVE,256099,2811
HOUSTON,10157 WESTVIEW DR APT 77,218685,2849
NAUGATUCK,102 SPRING ST APT 2F,396498,2039
BRONX,1018 E 233RD ST,452050,1260
ARECIBO,102 CALLE 1,256355,2497
LARGO,10101 SAILWINDS BLVD S APT AQ-101,231790,2201
MANILLA,10112 W 100 S,192886,1261
MESA,1031 S STEWART APT 411 # 7459,328552,1539
HARRISBURG,1034 PAXTON ST,198317,1941
DETROIT,101 JEFFREYS RD,149819,1447
ASTORIA,10353 E MORNING STAR HWY,316110,2655
SUN LAKES,10210 E HERCULES DR,150012,1605
OSWEGO,104 W UTICA ST STE 1,317634,1922
KENWOOD,10410 SONOMA HWY,100437,1463
DEMOTTE,10499 PHEASANT TR N DR,459612,1281
BLAWNOX,103 DOGWOOD LN,283811,1778
ALLEN,1022 S GREENVILLE AVE STE 100,438428,2713
HOBOKEN,1024 WILLOW AVE APT 1618 # 1,145530,2375
GREENSBORO,1027 E FLORIDA ST,170247,3188
BLANDING,105 E 500 N,347029,2333
DUNNELLON,10449 SW 188TH AVE,357044,3095
HOBOKEN,104 11TH ST APT 1,126740,2950
WORCESTER,104 SAINT NICHOLAS AVE,491103,2477
PUEBLO,1066 W 19TH ST,117840,1647
RIGA,10699 LAKE RD,103514,1538
CEDAR RAPIDS,1050 MEMORIAL DR SE,238962,2298
LOUISVILLE,10521 SHADOW RIDGE LN APT 101,458575,2145
STAMFORD,1055 WASHINGTON BLVD STE 408,400654,2081
DALLAS,10580 HIGH HOLLOWS DR APT 170,433435,2706
GREENSBORO,106 N NOCHO ST,328795,2665
DOVER,1061 S LITTLE CREEK RD TRLR 40,417454,1263
NORTH PLAINS,10466 NW 313TH AVE,108756,2480
JONESBORO,1037 N CHURCH ST,415102,1471
FORESTPORT,10759 STATE ROUTE 28,190806,3127
BROOKLYN,1070 OVINGTON AVE,151866,2890
SPRINGFIELD,11 ARMORY ST APT 1R,311952,2745
MATAWAN,11 DELAWARE CT APT A,416655,2394
ALTO,10807 100TH ST SE,358840,2739
GRETNA,10776 S 213TH ST,193984,2584
LOS ANGELES,10828 PALMS BLVD APT 1,497177,1687
SABANA GRANDE,108 CALLE PAPAYO,444341,1881
MILLPORT,11 KINGS RD,417122,2715
DALE,10871 FM 1854,425114,2289
HOUSTON,10901 TELEPHONE RD APT 88,179123,2493
AUSTIN,10938 HILLSIDE DR,218867,2740
BROOK,10969 S 50 E,251594,1381
LEXINGTON,1099 PR 4152,420524,2002
GLENSIDE,114 E GLENSIDE AVE,392203,2378
ELMIRA,1178 COUNTY ROAD 60,314637,3116
URBANA,1204 W HILL ST,320975,2533
JERSEY CITY,111 STORMS AVE APT 10A,420844,1364
ROSLINDALE,114 NEPONSET AVE,275414,2388
FULLERTON,118 E TRUSLOW AVE APT A,371618,1371
HINGHAM,1 CONSTITUTION RD,245255,3028
SOUTHBRIDGE,1 CORRIVEAU AVE,410935,1912
EGG HARBOR TOWNSHIP,1 COURTLAND CT,163099,2477
TOLEDO,0 W SYLVANIA AVE,378571,3102
BEEBE PLAIN,0J EAST HWY,258190,2218
PINSON,1 16TH FAIRWAY CV,297997,2387
PASSAIC,1 3RD ST # 5744 # 4056,162232,2785
SEAMAN,1 ADA LN,245232,2269
MIDLAND CITY,1 ADAMS ST,453187,1528
WEST SIMSBURY,1 ALBANY TPKE,474178,2427
NORTHBRIDGE,1 ARROWHEAD AVE,401382,2144
PALMYRA,1 BADGERBOROUGH RD,328398,1812
WASHINGTON,1 BASS CIR SE APT AO-101,155318,1946
PEMBROKE,1 CHICKADEE LN,255282,2354
EVA,1 COBBS RD,486739,1334
LYNN,1 BELLEAIRE AVE,364987,1860
GLEN ROCK,1 BIRCHWOOD RD,492502,2080
BOXHOLM,0 MLK DR,374426,1478
YAUCO,1 CALLE 1RO DE MAYO,131197,1965
ISABELA,1 CALLE 5,135822,2147
LAJAS,1 CALLE A,456682,2369
ARECIBO,1 CALLE C,126701,1294
VEGA BAJA,1 CALLE CAMINO DEL VALLE,250685,2060
YAUCO,1 CALLE D BO VILLA ESPERANZA,332742,1719
VEGA BAJA,1 CALLE MARGINAL,337690,2235
ISABELA,1 CALLE OTERO,449261,1895
ADJUNTAS,1 CALLE SALVADOR LUGO,495734,2088
MAYAGUEZ,1 CALLE TAMARINDO NORTE INT,361428,1455
LAKEWOOD,1 CARASALJO DR,426900,1283
HORMIGUEROS,1 CARR 114,381784,2768
MAUK,1 CEDAR CREEK MILL RD,143609,1934
LESTER,1 FOXCHASE DR,145632,1380
SYRACUSE,1 GENERAL MOTORS DR STE 2,422693,2801
NORTH ATTLEBORO,1 GRANDVIEW DR,191712,2970
MILL VALLEY,1 GREENFIELD CT,173056,1837
MARBLEHEAD,1 INDEPENDENCE WAY,243278,1348
LEWISTON,1 INGOME AVE,461355,2050
ISABELA,1 ISABELA BEACH CT,148652,1760
LONGMEADOW,1 HAWTHORNE ST,441915,2607
RUTLAND,1 HERITAGE HILL CIRCLE PL,315912,2098
METHUEN,1 HIGHWOODS DR,188313,2026
METHUEN,1 HILLVIEW DR,418676,1620
VANDIVER,1 HUNTERS LN,442831,2100
REVERE,1 HUTCHINSON ST,235098,2549
CUBA,1 DEER RUN DR,296813,1284
JASPER,1 BROWNS LN,283369,2402
NUTLEY,1 BURNETT PL,263653,2345
BERLIN,1 DEERFIELD CT,376534,1631
MOSCOW,1 DIFFEE RD,249060,3042
MILLVILLE,1 E VINE ST # 1738 # 1411,140236,2311
NEW BEDFORD,1 EASTLAND TER,195780,2118
SENOIA,1 ELDERS MILL ESTATES DR,351854,1485
HARPERSVILLE,1 MAPLECREST PLZ,453496,2703
LINDEN,1 MARSH CREEK SPUR RD,269175,2677
DUMONT,1 MCCRTH ST,281900,3126
WOODBURY,1 MEADOWBROOK LN,175013,2551
CHATHAM,1 MONOMOYIC WAY,250259,3169
HOLDEN,1 MOONLIGHT DR,454259,1665
EPSOM,1 MOUNTAIN VIEW SPUR RD,273793,1647
HAVERHILL,1 LACKEY ST,462821,3053
CLAY CITY,1 LAKEVIEW DR,206239,1931
MISHAWAKA,1 LIBERTY SQ,311030,2550
FLORIDA,1 EST DE FLORIDA,475191,1638
HOPE HULL,1 OWENS DR,456239,1821
FREEHOLD,1 PARK AVE,155809,3183
TOLLAND,1 PARTRIDGE LN,446366,1958
CARVER,1 PONDVIEW WAY,279990,2191
BEACON,1 PROSPECT STREET MD,308726,1867
LYNN,1 JOHNSONS TER,198725,3090
EAST AMHERST,1 MUZUHR CT,128894,2603
BOSTON,1 NARRAGANSETT ST,462989,1719
TINTON FALLS,1 NATALE WAY,250838,1766
WARWICK,1 NIGHTINGALE AVE,197597,1725
MANCHESTER,1 SYLVESTER ST,306338,2557
NASHUA,1 TIMBERLINE DR,294454,2046
AUGUSTA,1 WESTVIEW ST,341998,2704
SWAMPSCOTT,1 WILLIAMS TER,415348,1465
SUDBURY,1 TRAILSIDE CIR,270585,2653
VAN NUYS,1 U S PURCHASING EXCHANGE,240591,1834
CABO ROJO,1 URB RAMIREZ,114787,2182
CASTILE,1 W MULIPA ST,223298,3006
PRINCETON,1 WASHINGTON RD,447991,2717
SABANA GRANDE,1 RES LA TORRE,259372,1983
NORTH HAVEN,1 RIDGEWOOD AVE,136773,2491
WEST HAVEN,1 ROBERTS ST,234617,1528
ENGLISHTOWN,1 ROCKINGHAM CT,238723,1688
WEST BATH,1 ROSEDALE RD,269576,2648
SAN GERMAN,100 AVE UNIV INTERAMERICANA,310853,2536
LEXINGTON,100 BABETTE DR,494659,1285
BLOUNTSVILLE,100 BEAVERS RD,238564,2146
ASHVILLE,100 BLUEBIRD LN,286349,3103
VINCENT,100 BUCKS DR,189805,1708
SAN ANTONIO,100 CALLE 6,133588,2502
MOROVIS,100 CALLE ARMANDO MEJIAS,492234,2071
DORADO,1-17 SEC 2,487214,1235
ALBIA,10 BENTON AVE E STE 5,470580,1752
ARECIBO,10 CALLE E SANTA MARIA,468175,2793
PISCATAWAY,10 CORPORATE PL S STE 202,113800,1838
BURLINGTON,1 SHELBURNE ST,175285,1452
SOMERSET,1 SHOPPING CENTER RD,485644,2250
MARLTON,1 SNAPDRAGON LN,216241,1822
JOLIET,10 FAIRLANE DR STE 101,407508,2629
ANDOVAR,10 LAKE VIEW DR,113928,1792
MOBILE,10 N HALLETT ST APT 1380 # 11470,252990,1242
KEARNY,10 PORT KEARNY STE B,235552,2658
TROY,100 LESTERS RD,297700,2810
SHERIDAN,100 LIMLTY ST,372116,2638
SYRACUSE,100 MADISON ST STE 800,123597,2729
ENTERPRISE,100 HIGHLAND DR,247896,1279
PITTSVIEW,100 HOOKS RD,179884,1875
INDIAN SPRINGS,100 INDIAN TRAIL RD,122852,1452
WEST MINERAL,100 JOPLIN ST,345622,3156
NORMAN,100 E BOYD ST RM P119,469035,2497
SAMSON,100 E OWENS ST,218573,1421
BRONX,100 ERDMAN PL APT 18A,409996,1721
HUNTSVILLE,10 SAPSIDE INN LIGHTHOUSE LANE PMB 10062,354223,1331
WOBURN,10 STATE ST STE 2A,328584,2009
AGAWAM,10 WOODCLIFF AVE,412055,2413
GRANITE CITY,100 1ST ST,380092,1525
FLOYD,100 ABRAHAMS PL NE,351099,1278
BROOKLAND,100 ADAMS ST,456599,1444
MURRAYVILLE,100 AMANDA DR,437545,2344
NEW BEDFORD,100 DIVISION ST,436305,3006
MORGAN CITY,100 LAKE PALOURDE BYPASS RD,234420,1621
MAYAGUEZ,100 CALLE JULIO MARTINEZ APT 40,476974,2272
CABO ROJO,100 CALLE SAGRADO CORAZON,319310,3200
MARICOPA,1000 EYRING CT,364769,1524
CHOUDRANT,1000 HIGHWAY 556 # 2406,490853,2369
FAIRFIELD,1000 N 4TH ST,424355,1747
HOUSTON,10000AF MEMORIAL DR STE 620,378123,2372
OKLAHOMA CITY,100 N BROADWAY AVE STE 3000,313643,1862
BOONE,100 NISHIP ST,360589,1411
ARAB,100 OAK HILL LN,394077,2063
AGUADA,100 PARC ESPINAL,384739,2071
ALEXANDER CITY,100 PARKS AVE,337688,1879
FALLS CITY,100 PIEGAO ST,289811,2171
WEST PARIS,100 ROSENBERG RD,284638,1837
SEDGWICK,100 S MAIN ST,123001,1805
NEW CASTLE,100 SMALLS FERRY RD,188498,1987
FAYETTE,100 STATE ROUTE DD,305142,1527
MAYAGUEZ,100 VILLA SONSIRE,471726,1322
BAYONNE,100 W 33RD ST APT 6,165297,2383
ALBERTVILLE,100 W DONS AVE,189385,1480
BLOOMINGTON,100 YINTEA LN,170298,1268
ELLSWORTH,1000 AVENUE T,265576,2942
SAN ANTONIO,10017 TIGER BAY,348092,3097
NEW RIVER,1002 W PONTIAC DR,180767,1743
LAMPASAS,1004 E AVENUE I,121445,3075
QUEEN CREEK,1004 W DESERT VALLEY DR,381324,2731
CAROLINA,1005 COND AMAPOLA,249011,1795
TITUS,100 CEDAR RIDGE CT,142023,2894
OHATCHEE,100 COBB RD,413298,2333
KOSCIUSKO,100 COURTHOUSE STE 1,166178,2882
GARLAND,1000 CARRIAGEHOUSE LN,447603,1973
AURORA,1000 CORPORATE BLVD STE A,193720,1964
MAYAGUEZ,101 AVE GONZALEZ CLEMENTE,320148,1527
DES MOINES,1007 E GRAND AVE RM 214,277198,2627
ARKADELPHIA,1008 26TH ST,401941,2533
URBANA,101 W PARK ST APT 201,441596,3062
KEARNY,101 WILSON AVE # 8980 # 1701,380323,1736
ASHFORD,101 BROWNS LN,420660,1842
BAILEYTON,101 BRYANT RD,186391,1207
ARECIBO,101 CALLE A BDA VIETNAM,337096,1739
AVERY,101 COUNTY ROAD 3312 BLVD,476271,1792
EUTAW,101 DRUMMONDS LN,114021,1826
FREEHOLD,1001 W MAIN ST STE A,337430,1480
HACKENSACK,101 PROSPECT AVE APT 6F,164104,1954
HARTFORD,101 SPRING ST APT 3S,382706,1851
MESENA,101 TAMBENS RD,187026,2352
HOUSTON,1008 WIRT RD STE 100,384960,2104
COMFORT,100O BLUE RDG,483054,1725
LANGDON,10005 105TH AVE NE,346193,2001
